id,created_at,current_question_count,user_id
101,,10,147
106,,0,147
41,,10,99
85,,7,135
45,,0,99
27,,10,87
28,,1,88
21,,10,82
120,,0,160
34,,10,94
29,,5,89
67,,10,120
86,,0,136
22,,10,83
42,,10,100
97,,10,143
74,,10,127
30,,10,90
35,,10,95
36,,0,95
31,,3,91
76,,0,127
53,,10,109
23,,10,84
121,,0,161
46,,10,103
24,,10,85
25,,0,85
59,,10,112
47,,10,104
32,,10,92
48,,0,104
37,,10,96
38,,0,96
44,,1,102
26,,10,86
60,,0,113
84,,10,134
87,,0,134
68,,10,121
39,,10,97
33,,10,93
122,,0,162
123,,0,163
49,,10,105
125,,0,165
61,,10,114
40,,10,98
55,,10,109
56,,0,109
54,,10,110
75,,10,128
126,,0,166
127,,0,167
128,,0,168
69,,10,122
107,,10,151
98,,10,144
88,,10,137
51,,10,107
52,,10,108
89,,0,137
58,,0,108
50,,10,106
77,,9,129
78,,1,130
70,,10,123
63,,10,116
57,,7,111
43,,10,101
62,,10,115
64,,0,117
66,,0,119
108,,0,151
129,,0,169
130,,0,170
131,,0,171
71,,10,124
65,,10,118
132,,0,172
90,,10,138
133,,0,173
159,,10,194
154,,6,190
109,,10,152
79,,10,131
73,,1,126
72,,10,125
100,,10,146
110,,0,152
81,,0,131
80,,10,132
82,,0,132
91,,10,139
92,,0,139
94,,0,141
143,,10,181
171,,2,205
148,,10,185
83,,10,133
139,,10,177
134,,10,174
99,,10,145
135,,0,174
93,,10,140
111,,10,153
112,,0,153
140,,0,178
150,,0,187
102,,10,148
103,,0,148
95,,10,142
20,,8,81
96,,3,128
168,,10,202
161,,10,196
152,,10,188
113,,10,154
114,,0,155
115,,0,156
104,,10,149
144,,10,182
157,,0,188
136,,10,175
138,,0,175
105,,2,150
141,,10,179
158,,0,193
116,,10,157
117,,0,154
149,,10,186
151,,0,186
153,,0,189
124,,10,164
145,,10,183
142,,10,180
118,,10,158
119,,0,159
146,,1,183
147,,0,184
137,,10,176
155,,0,191
163,,10,198
156,,0,192
166,,0,198
160,,10,195
162,,4,197
169,,0,203
172,,0,206
167,,4,201
165,,10,200
175,,10,209
173,,2,207
170,,10,204
174,,0,208
177,,0,211
176,,10,210
178,,0,212
164,,5,199
179,,10,213
180,,10,214
181,,10,215
182,,7,216
183,,10,217
184,,10,218
185,,10,219
186,,10,220
187,,10,221
188,,3,222
190,,0,224
189,,10,223
191,,9,225
193,,0,226
192,,10,226
194,,10,227
195,,0,228
198,,10,230
199,,10,231
200,,10,232
201,,5,233
196,,10,229
197,,0,229
202,,6,234
203,,6,235
204,,10,236
